ITEM_NAME,SKU,CUR_PRICE,MIN_UPBID,MINUTES_LEFT,START_DATE,END_DATE,NUM_BIDS,HIGHEST_BIDR,ITEM_TYPE,LIST_DAY,LIST_MONTH,MINUTES_SINCE,DAYS_SINCE,DATE_OBS,ID
8 925 SilverSynthetic Stone Bead Bracelet,219848F,11.75,13.5,22,2020-12-11,2020-12-18,6,Haroonm,Jewelry,Friday,December,10058,0,2020-12-18,65
8.25 925 Silver Figaro Chain Bracelet,219110F,47.75,49.5,17,2020-12-11,2020-12-18,24,MNS,Jewelry,Friday,December,10063,0,2020-12-18,57
Gold-Tone Cameo Brooch/Pendant,219724F,46.75,48.5,6,2020-12-11,2020-12-18,20,LannieB,Jewelry,Friday,December,10074,0,2020-12-18,63
Ladies Gold-ToneCubic Zirconia Stone Pendant,219875F,17.5,19.25,21,2020-12-11,2020-12-18,7,Haroonm,Jewelry,Friday,December,10059,0,2020-12-18,67
Ladies Gold-ToneSynthetic Stone Cocktail Fashion Ring,219703F,13.75,15.5,0,2020-12-11,2020-12-18,7,Biilybuck,Jewelry,Friday,December,10080,0,2020-12-18,62
Mens Gold-toneCubic Zirconia Ring,219864F,21.75,23.5,9,2020-12-11,2020-12-18,8,GabJoaquin,Jewelry,Friday,December,10071,0,2020-12-18,66
TurboTax CD/Download Tax Return SoftwareNorton Antivirus Software,224475B,20.75,22.5,20,2020-12-11,2020-12-18,9,bichonfrisegta,Technology,Friday,December,10060,0,2020-12-18,68
10K White GoldDiamond Heart Ring,219240F,136.75,138.5,0,2020-12-12,2020-12-19,45,syoung97,Jewelry,Saturday,December,10080,0,2020-12-19,72
18 Gold-Tone Twisted Mesh Chain Necklace,222272F,25.75,27.5,18,2020-12-12,2020-12-19,15,GIBBSB,Jewelry,Saturday,December,10062,0,2020-12-19,75
8 Tanzanite Tennis Bracelet in 925 Silver,223969F,400.0,401.75,22,2020-12-12,2020-12-19,58,GIBBSB,Jewelry,Saturday,December,10058,0,2020-12-19,77
Ladies Gold-ToneCubic Zirconia Fashion Ring,219704F,10.5,12.25,3,2020-12-12,2020-12-19,5,Haroonm,Jewelry,Saturday,December,10077,0,2020-12-19,73
Ladies Stainless SteelCrystal Fashion Ring,223308F,12.0,13.75,3,2020-12-12,2020-12-19,9,GIBBSB,Jewelry,Saturday,December,10077,0,2020-12-19,76
Lot of (3) USB chargers,212991B,5.0,6.75,6,2020-12-12,2020-12-19,3,viggy,Technology,Saturday,December,10074,0,2020-12-19,70
Major JM Munro Pres--CDN Army Badge ,182483F,11.0,12.75,15,2020-12-12,2020-12-19,7,jawadnasiri,Jewelry,Saturday,December,10065,0,2020-12-19,69
"Smart X8/i9100/i9300 Travel Charger, Type G",218364B,0.99,2.74,24,2020-12-12,2020-12-19,1,rohanharipal,Technology,Saturday,December,10056,0,2020-12-19,71
Toronto Marlies 2018 Calder Cup Championship Souvenir Ring ,219721F,36.75,38.5,17,2020-12-12,2020-12-19,16,idstew,Jewelry,Saturday,December,10063,0,2020-12-19,74
925 Silver DiamondTanzanite Ring,205922F,296.75,298.5,5,2020-12-13,2020-12-20,32,GIBBSB,Jewelry,Sunday,December,10075,0,2020-12-20,78
925 Silver DiamondTopaz Ring,219852F,91.75,93.5,7,2020-12-13,2020-12-20,25,Cathy21,Jewelry,Sunday,December,10073,0,2020-12-20,80
Silver-toneCubic Zirconia Ring Band,219881F,21.75,23.5,25,2020-12-13,2020-12-20,11,emie123,Jewelry,Sunday,December,10055,0,2020-12-20,81
SilverCameo Pendant,219723F,65.75,67.5,1,2020-12-13,2020-12-20,27,Dimos,Jewelry,Sunday,December,10079,0,2020-12-20,79
10K Yellow GoldSynthetic Stone Ring,219254F,76.75,78.5,17,2020-12-14,2020-12-21,34,MNS,Jewelry,Monday,December,10063,0,2020-12-21,82
(5) PS3 Assorted Video Games,225318B,11.75,13.5,5,2020-12-15,2020-12-22,8,G.Mikey,Technology,Tuesday,December,10075,0,2020-12-22,104
10K Yellow Gold Ring: DiamondsSapphire ,212260F,651.75,653.5,21,2020-12-15,2020-12-22,99,cam446,Jewelry,Tuesday,December,10059,0,2020-12-22,83
925 Silver and Blue Topaz Bracelet ,219784F,415.75,417.5,0,2020-12-15,2020-12-22,67,Andrew905,Jewelry,Tuesday,December,10080,0,2020-12-22,88
925 SilverAmethyst Tennis Bracelet,223980F,251.75,253.5,18,2020-12-15,2020-12-22,47,Andrew905,Jewelry,Tuesday,December,10062,0,2020-12-22,96
925 SilverGenuine Amethyst Bracelet ,219835F,221.75,223.5,15,2020-12-15,2020-12-22,38,ittybutt,Jewelry,Tuesday,December,10065,0,2020-12-22,89
APC Back-UPS ES 550 BE550R 8-Outlet Battery Back-Up (Needs Battery),225496B,15.99,17.74,6,2020-12-15,2020-12-22,8,RAYMORAND,Technology,Tuesday,December,10074,0,2020-12-22,108
Acer Aspire 5 Laptop PC No Hard Drive or Charger,222816B,161.75,163.5,21,2020-12-15,2020-12-22,27,ernip683,Technology,Tuesday,December,10059,0,2020-12-22,93
Canon Pixma TS3320 Wireless All-In-One Printer,225924B,51.75,53.5,18,2020-12-15,2020-12-22,28,palzomd@gmail.com,Technology,Tuesday,December,10062,0,2020-12-22,113
Canon PowerShot A1000 IS 10MP 4x Optical Zoom Digital Camera,225362B,9.25,11.0,2,2020-12-15,2020-12-22,6,viva3840,Technology,Tuesday,December,10078,0,2020-12-22,107
Case Logic Case with Lot of Assorted Music CDs,225320B,28.6,30.35,0,2020-12-15,2020-12-22,20,builder1,Technology,Tuesday,December,10080,0,2020-12-22,105
Fuse NYX On-Ear Bluetooth Wireless Headphones,225312B,31.75,33.5,10,2020-12-15,2020-12-22,11,MNS,Technology,Tuesday,December,10070,0,2020-12-22,102
Geeni Sentinel PanTilt Smart Wi-Fi 1080p HD Security Camera (New),225653B,68.75,70.5,25,2020-12-15,2020-12-22,28,Zalmania631,Technology,Tuesday,December,10055,0,2020-12-22,110
Geeni Sentry Smart Floodlight1080p HD Security Camera (New),225654B,65.77,67.52,21,2020-12-15,2020-12-22,20,Creekw,Technology,Tuesday,December,10059,0,2020-12-22,111
Ladies Gold-ToneCubic Zirconia Fashion Ring,219246F,8.0,9.75,16,2020-12-15,2020-12-22,5,ubc120,Jewelry,Tuesday,December,10064,0,2020-12-22,87
Ladies Rose Gold-ToneCubic Zirconia Fashion Ring,219879F,8.25,10.0,24,2020-12-15,2020-12-22,7,GIBBSB,Jewelry,Tuesday,December,10056,0,2020-12-22,90
Ladies Silver-ToneCubic Zirconia Ring,219882F,10.25,12.0,4,2020-12-15,2020-12-22,8,Haroonm,Jewelry,Tuesday,December,10076,0,2020-12-22,91
Lenovo Thinkpad Portable External DVD Writer,224927B,30.75,32.5,9,2020-12-15,2020-12-22,22,Dimos,Technology,Tuesday,December,10071,0,2020-12-22,100
Lot of (3) AppleLG USB Chargers,212994B,4.75,6.5,11,2020-12-15,2020-12-22,5,Clivor,Technology,Tuesday,December,10069,0,2020-12-22,84
Lot of (3) LGITE USB Chargers,212995B,5.75,7.5,3,2020-12-15,2020-12-22,4,Atimoteob,Technology,Tuesday,December,10077,0,2020-12-22,85
Lot of (3) USB Chargers,213000B,2.75,4.5,5,2020-12-15,2020-12-22,3,MSgee,Technology,Tuesday,December,10075,0,2020-12-22,86
Magellan Roadmate 6220 Automotive 5 GPS Navigator with DVR,225313B,43.5,45.25,19,2020-12-15,2020-12-22,17,Naturehasit,Technology,Tuesday,December,10061,0,2020-12-22,103
Merkle-Korff Gear MotorsCooler Master Fan Mount Accessory Kit,225663B,6.75,8.5,9,2020-12-15,2020-12-22,3,Shergott,Technology,Tuesday,December,10071,0,2020-12-22,112
Mx Onda Quartz Wrist Watch,222733F,7.75,9.5,16,2020-12-15,2020-12-22,6,Dic-Wolf,Jewelry,Tuesday,December,10064,0,2020-12-22,92
Nikon Coolpix A900 20MP 35x Wide Optical Zoom 4K Digital Camera,224008B,192.5,194.25,4,2020-12-15,2020-12-22,64,MCOST,Technology,Tuesday,December,10076,0,2020-12-22,97
Olympus TG-310 14MP Digital Camera,223082B,16.75,18.5,17,2020-12-15,2020-12-22,8,Afig27,Technology,Tuesday,December,10063,0,2020-12-22,95
Paul Anka and Juno Awards Compilation Music CDs,225321B,13.25,15.0,20,2020-12-15,2020-12-22,10,Dimos,Technology,Tuesday,December,10060,0,2020-12-22,106
Polk Audio Atrium 50 Indoor/Outdoor Loudspeaker,224515B,4.5,6.25,13,2020-12-15,2020-12-22,4,jaws1000,Technology,Tuesday,December,10067,0,2020-12-22,98
Ricoh Caplio R1 Digital Camera,222839B,5.0,6.75,2,2020-12-15,2020-12-22,3,viva3840,Technology,Tuesday,December,10078,0,2020-12-22,94
Samsung Sound+ 5 Series HW-MS550 Soundbar (New),225626B,155.25,157.0,16,2020-12-15,2020-12-22,43,Zolarius,Technology,Tuesday,December,10064,0,2020-12-22,109
Virgin Mobile LTE Multi SIM Card,224917B,0.99,2.74,15,2020-12-15,2020-12-22,1,don.phoenix,Technology,Tuesday,December,10065,0,2020-12-22,99
ZTE K83CA 8 16GB Android Tablet,225149B,51.75,53.5,23,2020-12-15,2020-12-22,22,MNS,Technology,Tuesday,December,10057,0,2020-12-22,101
10K Rose Gold Necklace: DiamondPink Sapphire Pendant ,211226F,421.75,423.5,10,2020-12-16,2020-12-23,16,palin@bell.net,Jewelry,Wednesday,December,10070,0,2020-12-23,116
10K Yellow Gold DiamondBlue Topaz Necklace,219781F,401.75,403.5,17,2020-12-16,2020-12-23,48,cam446,Jewelry,Wednesday,December,10063,0,2020-12-23,121
10K Yellow GoldDiamond Small Ring,219697F,76.5,78.25,24,2020-12-16,2020-12-23,24,Annie3,Jewelry,Wednesday,December,10056,0,2020-12-23,120
14-18K YellowWhite Gold Diamond Ring Band,219860F,351.75,353.5,7,2020-12-16,2020-12-23,63,Annie3,Jewelry,Wednesday,December,10073,0,2020-12-23,122
14K Yellow Gold Diamond and Ruby Ring ,214114F,513.75,515.5,1,2020-12-16,2020-12-23,58,Lupita,Jewelry,Wednesday,December,10079,0,2020-12-23,118
1914-1918 British-Issued War Medallion,213039F,46.75,48.5,20,2020-12-16,2020-12-23,21,fsucci3386@gmail.com,Jewelry,Wednesday,December,10060,0,2020-12-23,117
Atlantic Padded Wheeled Laptop Bag Travel Carry On,225328B,8.26,10.01,16,2020-12-16,2020-12-23,8,cr8vchar,Technology,Wednesday,December,10064,0,2020-12-23,125
Globe Suite Indoor/Outdoor 1080P Security Camera (New) ,225655B,56.75,58.5,13,2020-12-16,2020-12-23,23,Cannon,Technology,Wednesday,December,10067,0,2020-12-23,126
Gold Leaf Replica Non Monetary100 Canadian Dollar Bank Note,126145C,41.75,43.5,20,2020-12-16,2020-12-23,24,MB12,Antique,Wednesday,December,10060,0,2020-12-23,114
HyperX Cloud Alpha Wired On-Ear Gaming Headset,223849B,61.75,63.5,19,2020-12-16,2020-12-23,27,rahme,Technology,Wednesday,December,10061,0,2020-12-23,124
Ladies Silver-toneCubic Zirconia Ring,222079F,18.77,20.52,0,2020-12-16,2020-12-23,8,emie123,Jewelry,Wednesday,December,10080,0,2020-12-23,123
Lot of 2 Nintendo Wii Remote Controllers,174044B,24.26,26.01,23,2020-12-16,2020-12-23,12,Canard03,Technology,Wednesday,December,10057,0,2020-12-23,115
MonoPod Selfie StickBluetooth Remote Shutter (New),214536B,13.75,15.5,4,2020-12-16,2020-12-23,8,Rude,Technology,Wednesday,December,10076,0,2020-12-23,119
925 Silver Green AmethystCZ Ring,219746F,43.75,45.5,3,2020-12-17,2020-12-24,14,valentine,Jewelry,Thursday,December,10077,0,2020-12-24,129
Gold-Plated PearlDiamond Ring,219698F,54.5,56.25,5,2020-12-17,2020-12-24,16,rudyr88,Jewelry,Thursday,December,10075,0,2020-12-24,128
Lot of (3) USB chargers,212999B,11.75,13.5,11,2020-12-17,2020-12-24,7,DSLMTL6380,Technology,Thursday,December,10069,0,2020-12-24,127
14 Acer Swift SF114-32PC Laptop ,224920B,150.11,151.86,20,2020-12-19,2020-12-26,53,Manan,Technology,Saturday,December,10060,0,2020-12-26,137
32 Insignia NS-32D510NA19 LED TV with Remote Controller ,223951B,55.25,57.0,0,2020-12-19,2020-12-26,13,pa57,Technology,Saturday,December,10080,0,2020-12-26,135
Borne Airbuds Wireless Stereo Earbuds,222327B,26.75,28.5,16,2020-12-19,2020-12-26,8,iistherforeiam,Technology,Saturday,December,10064,0,2020-12-26,133
HP Envy 4520 5-in-1 Multifunction Center Printer ,224555B,14.0,15.75,15,2020-12-19,2020-12-26,6,Mo_1981,Technology,Saturday,December,10065,0,2020-12-26,136
Ladies Fossil Analog and Digital Wrist Watch,218392F,2.75,4.5,7,2020-12-19,2020-12-26,3,jenta,Jewelry,Saturday,December,10073,0,2020-12-26,130
Ladies Gold-ToneSynthetic Stone Fashion Ring,223333F,0.99,2.74,24,2020-12-19,2020-12-26,1,lenna777,Jewelry,Saturday,December,10056,0,2020-12-26,134
Ladies Stainless SteelBlack Crystal Rope Design Ring,219837F,19.75,21.5,14,2020-12-19,2020-12-26,10,RockHunter70,Jewelry,Saturday,December,10066,0,2020-12-26,131
Samsung USB Type-C Fast Charge 15W Travel Adapter,221819B,19.25,21.0,14,2020-12-19,2020-12-26,11,Sarkis786,Technology,Saturday,December,10066,0,2020-12-26,132
Victrola VSC-550BT 3-Speed Portable Bluetooth Suitcase Turntable,225931B,41.75,43.5,5,2020-12-19,2020-12-26,13,jame207,Technology,Saturday,December,10075,0,2020-12-26,138
24 Cross Fashion Necklace,219722F,21.75,23.5,11,2020-12-20,2020-12-27,7,Chester13,Jewelry,Sunday,December,10069,0,2020-12-27,141
8 925 SilverSmoky Quartz Tennis Bracelet,223976F,159.75,161.5,22,2020-12-20,2020-12-27,18,kelownaguy37,Jewelry,Sunday,December,10058,0,2020-12-27,150
Acer Aspire 5253 15.6 Laptop (No OS),222432B,76.75,78.5,6,2020-12-20,2020-12-27,26,antonette78,Technology,Sunday,December,10074,0,2020-12-27,142
Dell OptiPlex 9010 23 All-In-One Desktop Computer (No OS),223882B,161.75,163.5,8,2020-12-20,2020-12-27,28,schlotzy,Technology,Sunday,December,10072,0,2020-12-27,148
Ladies Gloria Vanderbilt Quartz Wrist Watch,222490F,6.76,8.51,21,2020-12-20,2020-12-27,4,PetNe,Jewelry,Sunday,December,10059,0,2020-12-27,143
Ladies Vendome Gold-Tone Fashion Necklace,223368F,2.75,4.5,11,2020-12-20,2020-12-27,3,rohanharipal,Jewelry,Sunday,December,10069,0,2020-12-27,145
Lot of (3) USB chargers,212992B,2.75,4.5,9,2020-12-20,2020-12-27,3,RAYMORAND,Technology,Sunday,December,10071,0,2020-12-27,139
Mani Fm/Sm Desktop Radio Receiver,213964B,2.74,4.49,1,2020-12-20,2020-12-27,2,viva3840,Technology,Sunday,December,10079,0,2020-12-27,140
Mens Tungsten Ring Band,223511F,36.75,38.5,15,2020-12-20,2020-12-27,20,arielsiagan,Jewelry,Sunday,December,10065,0,2020-12-27,146
"Seagate 1.5TB Expansion Portable Drive, For PC (New)",223936B,71.75,73.5,17,2020-12-20,2020-12-27,24,Sarkis786,Technology,Sunday,December,10063,0,2020-12-27,149
Sony DVP-NS67P CD/DVD Player,223279B,6.25,8.0,14,2020-12-20,2020-12-27,6,pchristamtsis,Technology,Sunday,December,10066,0,2020-12-27,144
TP-Link TL-PB10000 10000mAh Power Bank,223831B,6.55,8.3,11,2020-12-20,2020-12-27,5,drac,Technology,Sunday,December,10069,0,2020-12-27,147
GE E850 8MP Digital Camera with Soft Case,225850B,4.75,6.5,18,2020-12-21,2020-12-28,5,pa57,Technology,Monday,December,10062,0,2020-12-28,157
Garmin Nuvi 58 5 Car GPS Navigator,225355B,40.0,41.75,11,2020-12-21,2020-12-28,22,tedwaldner,Technology,Monday,December,10069,0,2020-12-28,154
HP PC Laptop (For Service/Repair) with Laptop Bag,225785B,37.76,39.51,2,2020-12-21,2020-12-28,8,Naturehasit,Technology,Monday,December,10078,0,2020-12-28,155
JBL Synchros E40BT Wireless Bluetooth Headphones,225811B,92.75,94.5,9,2020-12-21,2020-12-28,25,Clivor,Technology,Monday,December,10071,0,2020-12-28,156
Magellan RoadMate 9020 7 GPS Navigator,225353B,35.99,37.74,20,2020-12-21,2020-12-28,16,s_olasusi@hotmail.com,Technology,Monday,December,10060,0,2020-12-28,153
Noco GB30 12V Genius Boost Jump Starter,225058B,69.75,71.5,12,2020-12-21,2020-12-28,29,Jasonandrade79,Technology,Monday,December,10068,0,2020-12-28,152
Olympus Trip 500 Film Camera with Soft Case,225920B,0.99,2.74,9,2020-12-21,2020-12-28,1,billebyers,Technology,Monday,December,10071,0,2020-12-28,158
TurboTax CD/Download Tax Return SoftwareNorton Antivirus Software,224474B,20.0,21.75,17,2020-12-21,2020-12-28,11,gtownman,Technology,Monday,December,10063,0,2020-12-28,151
(4) Assorted Nintendo DSGameboy Advance Games with Soft Case,225314B,21.0,22.75,23,2020-12-22,2020-12-29,9,Caspian42,Technology,Tuesday,December,10057,0,2020-12-29,170
